pml_id,exchange,underlying_scrip_code,segment,security_id,pml_symbol,vega,fresh_pos,iv,square_off_pos,desc,theta,gamma,spot_price,delta,price,stk_price,net_chg,oi,oi_per_chg,oi_net_chg,per_chg,traded_vol,symbol,expiry_date,option_type,instrument,name,tick_size,lot_size,exch_feed_time
5001485869,NSE,26000,D,50098,NIFTY-Feb2024-23150-CE,0.11,1013,30.12,1786,NIFTY2421523150CE,-0.45,0.0000,21617.90,0.00,1.50,23150.0,0.35,268950.00,-12.57,-38650.00,30.43,23094.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23150 CALL,5,50,2024-02-12T13:12:00
5001485891,NSE,26000,D,50155,NIFTY-Feb2024-23400-CE,0.02,1319,33.48,5441,NIFTY2421523400CE,-0.10,0.0000,21614.70,0.00,1.20,23400.0,0.30,189800.00,-52.06,-206100.00,33.33,22833.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23400 CALL,5,50,2024-02-12T13:11:45
5001485862,NSE,26000,D,50093,NIFTY-Feb2024-23050-CE,0.19,2501,28.95,1956,NIFTY2421523050CE,-0.78,0.0000,21619.25,0.00,1.75,23050.0,0.30,194000.00,16.34,27250.00,20.69,18301.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23050 CALL,5,50,2024-02-12T13:12:18
5001485886,NSE,26000,D,50140,NIFTY-Feb2024-23350-CE,0.03,1268,32.77,1730,NIFTY2421523350CE,-0.14,0.0000,21617.00,0.00,1.25,23350.0,0.30,196600.00,-10.51,-23100.00,31.58,15519.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23350 CALL,5,50,2024-02-12T13:12:00
5001485784,NSE,26000,D,41745,NIFTY-Feb2024-21450-CE,7.37,1501,18.08,557,NIFTY2421521450CE,-33.54,0.0007,21617.20,0.65,254.35,21450.0,-136.70,87750.00,116.40,47200.00,-34.96,11030.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21450 CALL,5,50,2024-02-12T13:12:21
5001485918,NSE,26000,D,50271,NIFTY-Feb2024-23600-CE,0.01,659,35.94,636,NIFTY2421523600CE,-0.03,0.0000,21617.20,0.00,1.00,23600.0,0.15,267650.00,0.43,1150.00,17.65,7820.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23600 CALL,5,50,2024-02-12T13:12:22
5001485772,NSE,26000,D,41734,NIFTY-Feb2024-21300-CE,6.25,759,17.81,278,NIFTY2421521300CE,-29.59,0.0006,21618.45,0.76,368.35,21300.0,-150.75,158300.00,17.91,24050.00,-29.04,5135.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21300 CALL,5,50,2024-02-12T13:12:20
5001485900,NSE,26000,D,50198,NIFTY-Feb2024-23450-CE,0.02,1222,34.06,379,NIFTY2421523450CE,-0.08,0.0000,21617.35,0.00,1.15,23450.0,0.20,116800.00,56.46,42150.00,21.05,4005.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23450 CALL,5,50,2024-02-12T13:12:17
5001485923,NSE,26000,D,50275,NIFTY-Feb2024-23650-CE,0.00,447,36.25,456,NIFTY2421523650CE,-0.02,0.0000,21617.30,0.00,0.90,23650.0,0.10,158400.00,-0.28,-450.00,12.50,3541.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23650 CALL,5,50,2024-02-12T13:12:21
5001485915,NSE,26000,D,50269,NIFTY-Feb2024-23550-CE,0.01,189,35.00,367,NIFTY2421523550CE,-0.04,0.0000,21615.75,0.00,0.95,23550.0,0.10,197650.00,-4.31,-8900.00,11.76,2710.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23550 CALL,5,50,2024-02-12T13:11:57
